state,district,seawall_cost,Region,HC03_VC161,HC03_VC07,HC03_VC09,HC03_VC45,HC03_VC44,HC03_VC50,HC03_VC51,HC03_VC52,HC01_VC85,HC03_VC131,HC03_VC132,pop,seawall_cost_percap,seawall_cost_percap_cat
AL,1,5997820813.925216,South,13.8,4.3,43.7,14,10.2,1.4,7.2,12.2,46449,88.1,64.1,702730,8535.028836004178,"4,000-10,000"
CA,11,404388629.39006346,West,7.5,4.6,35.9,7.7,7.7,0.6,6.8,6.3,83343,91.9,71.9,749531,539.522220415251,"350-1,500"
CA,12,221174930.85534716,West,6.6,3.7,29,5.1,3.4,0.2,3.2,5.2,97282,94.6,74,752652,293.8608159618883,0-350
CA,13,217938497.79107556,West,10.9,4.7,33.4,8.6,5.9,0.4,5.2,6.4,70222,91.4,68.3,750102,290.54514958109104,0-350
CA,14,598175869.4232591,West,4.4,3.6,31.4,8,5.7,0.4,4.8,7.3,101753,94,76.9,750274,797.2765541965457,"350-1,500"
CA,15,33648617.77926745,West,5.1,3.4,33,9.4,6.7,0.5,5.7,12.1,103109,94.5,77.1,764963,43.98724876793708,0-350
CA,17,460578471.9318786,West,4.2,3.5,32.9,7.9,4.5,0.2,3.3,20.9,115390,95.5,79.4,762175,604.2949085602107,"350-1,500"
CA,18,737898584.225043,West,4,3.1,33.7,4.2,4.8,0.5,4.4,13.8,122124,95.1,82.5,735753,1002.9161746198018,"350-1,500"
CA,2,7303126640.507062,West,7.4,4,38.6,7.2,8.8,3,6.8,6.1,68709,91.9,67.9,717270,10181.837579303556,"10,000+"
CA,20,907494041.14095,West,10.5,4,37.8,10.5,17.2,12.6,6.6,6.8,66078,88.2,60.3,734923,1234.8151318450368,"350-1,500"
CA,24,2816183178.6935015,West,8.2,3.6,37.8,8.1,12.5,6.6,6.3,7,67574,89.3,67.5,732284,3845.7527116439815,"1,500-4,000"
CA,26,286585655.00790536,West,7.6,4.4,34.2,10.6,12.4,6.7,5.7,10.4,80281,88.6,66.1,725161,395.20279635543744,"350-1,500"
CA,3,3113328032.813025,West,10.7,4.8,40.5,11.8,12.7,5.8,7,7.7,61268,91.3,65.2,730723,4260.613163692706,"4,000-10,000"
CA,33,125360057.12066479,West,4.9,3.9,34.5,4.1,2.4,0.3,2.9,7.9,103176,94.8,82.6,715197,175.28045716168384,0-350
CA,44,151830530.36692452,West,19,6.6,37.4,23.2,10.8,0.7,7,14.5,49774,83.3,43.9,723533,209.8460337910289,0-350
CA,47,246332792.80386147,West,12.2,4.3,35.5,12.6,7.2,0.5,5.4,11.9,63887,89.1,60.8,717209,343.46026444712976,0-350
CA,48,701102326.0889803,West,6.9,3.5,34.5,7.9,5.4,0.5,4.7,11.6,87413,91.6,71,727426,963.8125748721936,"350-1,500"
CA,49,327095197.613497,West,6.5,3.4,34.5,8.1,6.8,1.1,5.7,11.3,82202,91.4,74.4,736520,444.1090501459526,"350-1,500"
CA,5,1172505200.184833,West,7.7,4.4,35.6,10.3,10.4,2.5,7.4,9.9,71526,91.7,70.1,727704,1611.239185417193,"1,500-4,000"
CA,51,251924569.22958472,West,20,7,39.9,13.2,12.3,2.5,7.4,7.1,44759,84.3,45.6,730908,344.6734325381371,0-350
CA,52,470027041.2080933,West,5.1,3.6,32.4,5.2,3.6,0.2,3.3,11,89955,93.8,81.5,754053,623.3342234671744,"350-1,500"
CA,9,1453099717.2465894,West,13.2,6,39.3,14.6,13.2,4.4,8.1,8.3,60717,90.6,59.6,750185,1936.9884991656584,"1,500-4,000"
CT,2,2562678092.7311907,Northeast,5.4,4.2,33.2,9.8,8.5,0.8,6,12.6,74427,95.6,76.1,708127,3618.952663478713,"1,500-4,000"
CT,3,1587843353.015375,Northeast,7.8,4.9,33.6,9.7,6.9,0.2,5,10.9,66465,94.3,70.9,717162,2214.0650968893706,"1,500-4,000"
CT,4,1189142248.0021582,Northeast,6.4,5.3,32.2,6.7,6.9,0.3,6.3,7.1,92799,90.2,71,738259,1610.7385727802277,"1,500-4,000"
FL,1,3028569305.8988223,South,9.2,3.8,39.2,9,9.7,0.9,6.9,4.9,53480,87.6,69.2,748579,4045.7577702538038,"4,000-10,000"
FL,11,3030740917.412702,South,9.5,3.5,58.9,11,10,1.2,8.6,5.3,45051,88.7,59,738652,4103.07007550606,"4,000-10,000"
FL,12,2721311562.567023,South,8.3,3.6,45.5,7.9,8,0.5,6.5,5.6,50542,88.1,63.8,743356,3660.8456278916465,"1,500-4,000"
FL,13,2182322783.948935,South,10.2,3.8,41.2,9.1,7.7,0.4,5.6,7.1,47370,86.6,61.1,717518,3041.488553526093,"1,500-4,000"
FL,14,1519734478.0580974,South,12.9,4.7,33.5,7.8,7.4,0.3,6.6,4.8,50891,85.8,62,750173,2025.8453424184786,"1,500-4,000"
FL,15,22855491.213491395,South,11,4.3,38.3,11.2,9.3,1.8,6.8,5.6,52460,86.7,62.4,761327,30.02059721183065,0-350
FL,17,2795205606.981803,South,10.2,3.7,54.3,9.7,14.1,4.6,9.1,4.9,46034,86,57.9,743040,3761.8507845900663,"1,500-4,000"
FL,18,1797435206.3320794,South,8.5,3.5,43.4,7.8,9.7,1.1,7.9,5.3,56264,87,64.4,744294,2414.9532393544478,"1,500-4,000"
FL,2,19013483032.97878,South,11.6,4,46.8,9.7,10.8,2.6,6.9,5.1,47146,87.1,63.1,712695,26678.28879531746,"10,000+"
FL,20,28009512.466991484,South,16.4,6.4,35.1,10.6,10.3,0.9,7.2,4.3,43648,80.1,50.3,765067,36.61053537401494,0-350
FL,24,109899015.55788758,South,20.2,6.4,38.1,12.2,9.3,0.3,7.3,3.9,37821,75,41.9,741759,148.1600028552233,0-350
FL,26,12906484657.207323,South,14,4.4,37.4,8.9,11,1.8,7.6,3.6,53318,80.3,52,772867,16699.489895683633,"10,000+"
FL,3,1110928877.099049,South,12.8,4.5,43.5,9,8.9,1.5,6.1,5.4,47047,87.7,65.7,720286,1542.3441203897466,"1,500-4,000"
FL,5,347345586.88393724,South,17.5,6.1,39.5,11.4,8.6,0.7,6.2,4.5,39667,85.9,57.5,722646,480.6580080481138,"350-1,500"
FL,4,5647118244.553748,South,6.6,3.4,34.6,7.9,6.9,0.4,5.9,6,66753,89.5,74.8,763855,7392.9191332828195,"4,000-10,000"
FL,16,3527391698.8477044,South,8,3.2,45.3,8.9,10.3,1.8,7.9,5.8,56355,86.6,64.6,782096,4510.177393629048,"4,000-10,000"
FL,19,5789967506.80706,South,9.1,3.3,48.6,7.8,10.9,0.8,9.8,3.5,54971,85.3,62.5,777171,7450.056045332443,"4,000-10,000"
FL,21,186251979.3040196,South,9.3,4.6,41.4,7,9.2,0.8,7.9,3.9,55616,84.5,61.3,754832,246.74626844651473,0-350
FL,22,458382929.8213733,South,8.5,4.5,35.3,7.3,8,0.2,6.5,5.1,59830,85.2,65,742818,617.0864596999174,"350-1,500"
FL,23,620477679.9280428,South,8.2,4.2,35.3,7.1,6.6,0.4,5.7,4.5,62823,86.9,67.5,751320,825.8500771016913,"350-1,500"
FL,25,1386518324.5805736,South,15.5,3.8,39.9,13.5,13.2,2.8,9.2,7,46827,77.7,47.8,756894,1831.8527093365433,"1,500-4,000"
FL,27,1141970085.4391253,South,11.9,3.5,35.7,7.4,8.2,0.4,7.5,3.4,52353,82.6,57.8,750149,1522.324345482198,"1,500-4,000"
FL,6,3923020389.4093266,South,10.1,3.4,48.3,9.7,10.8,0.9,8,6.4,45873,86.1,61.2,740950,5294.581806342299,"4,000-10,000"
FL,7,163742460.7595735,South,9.6,4.1,35.5,7.1,6,0.3,5.6,5.2,56681,87.3,69.4,748154,218.86197328300523,0-350
FL,8,2438880598.1438236,South,9,4.1,46.4,9.2,9.1,0.8,6.8,9.1,50998,87.6,64.3,730040,3340.7492714698146,"1,500-4,000"
GA,1,15060564400.845657,South,13.9,4.9,38.5,13.6,10.6,1.3,6.7,9.6,49245,84.7,63.3,727997,20687.673714102748,"10,000+"
LA,1,15394584194.777561,South,10.7,3.7,36.6,10.2,11.4,3.3,8.8,6.5,57771,88.4,65.9,798345,19283.122202528433,"10,000+"
LA,2,1643331940.295563,South,19.8,5.6,39.6,12.6,10.6,1.5,7.8,6.8,38507,86,52.3,790128,2079.830027913911,"1,500-4,000"
LA,3,17498287254.310085,South,13.6,4.3,37.8,13.6,13,8.7,7.6,8.7,48130,87.3,62.2,780962,22406.06745822471,"10,000+"
LA,5,48675983.528170735,South,19.6,4.2,47.6,12.8,12.1,4.8,7.1,7.5,36731,85.8,55.5,749991,64.90209019597667,0-350
LA,6,3846988799.2337217,South,9.7,3.6,35,11.8,10.9,2.3,9.4,9.9,61097,90.1,70.5,785266,4898.962643529354,"4,000-10,000"
MA,3,12715494.901791738,Northeast,8.8,4.2,32,11.6,7.1,0.4,5.6,14.8,74586,96.6,71.8,760993,16.70908260889619,0-350
MA,5,332183067.0373059,Northeast,5.2,3.2,30.5,5.5,4.9,0.1,4.4,7.7,90564,97.1,80.5,760616,436.7290025943523,"350-1,500"
MA,9,13857354872.304996,Northeast,7.1,3.9,36.7,9.7,10.4,1,8.9,7.2,67064,96.7,72,735926,18829.821031333307,"10,000+"
MA,4,454988518.8102259,Northeast,4.6,3.5,31.2,7.3,6.2,0.2,5.3,9.2,95353,97.9,83.1,751263,605.6314750097182,"350-1,500"
MA,6,2465677902.5560026,Northeast,5.3,3.5,32.2,7.9,7.1,0.3,6,9.8,84446,97.5,78.4,762560,3233.4215046107884,"1,500-4,000"
MA,7,215360649.74475682,Northeast,15.7,5.2,30.6,7.6,4.6,0.1,3.7,5.4,59649,95.7,64,781304,275.6425792582104,0-350
MA,8,1393684883.4952345,Northeast,6.4,4.1,30,7.1,6.1,0.2,5.3,5.9,83928,97.5,77.3,761328,1830.5971716464317,"1,500-4,000"
MD,1,20492822461.212967,South,6.5,3.6,35.2,10,10.1,1.7,7.9,7.4,71900,94.5,75.6,729888,28076.667188956344,"10,000+"
MD,2,840700709.712532,South,8.1,4.4,32.2,10.1,7.5,0.2,6.1,5.4,66387,92.6,70.5,757951,1109.1755399920735,"350-1,500"
MD,3,869977764.709299,South,5.3,3.7,29.8,6.5,6,0.2,5.3,4.5,84243,93.1,77,752897,1155.507014517655,"350-1,500"
MD,5,4925217446.756561,South,4.6,3.9,31.1,7.4,9.4,0.4,8.1,2.9,95144,93.4,79.6,759228,6487.138839395493,"4,000-10,000"
MD,4,283162935.4254239,South,6.4,5,27.6,8.5,9.8,0.1,8.5,2.9,79163,88.8,69.8,747699,378.7124704265004,"350-1,500"
MD,7,2880869.722085276,South,11.5,5.1,37.6,8.6,4.8,0.3,4.2,4.6,60903,93.5,67.1,726536,3.965212628259682,0-350
ME,1,6803346007.470723,Northeast,6.8,3,33.8,9.8,9.3,1.7,6.4,9.2,60757,92,73.6,675074,10077.926282853025,"10,000+"
ME,2,4094094376.144374,Northeast,10,3.7,40,12.9,12.2,3.5,7.4,9.1,46534,89.9,63.7,655084,6249.72427374867,"4,000-10,000"
MS,4,3273799730.280225,South,15.1,5.3,41.3,13.8,12.4,3,7.9,11.3,44782,84.9,60,762965,4290.8911028424955,"4,000-10,000"
NC,1,1743421427.6539743,South,16.2,5.1,40.5,14.8,8.7,1.5,5.9,12.9,41998,86.9,60.8,750304,2323.6200628731476,"1,500-4,000"
NC,3,28184617143.7771,South,11.4,4.7,37.1,11.7,12.2,2.8,7.6,9.2,48484,87.9,67.3,754005,37379.88096070597,"10,000+"
NC,7,4910089437.296835,South,13.4,4.6,41.2,13.4,12.3,3.2,8.5,10.6,45716,86.3,61.8,777138,6318.169279197305,"4,000-10,000"
NH,1,1032541486.5931273,Northeast,5,3.2,30.9,10.7,8.3,0.5,6.6,12,72003,92.4,77.1,670467,1540.0332702327291,"1,500-4,000"
NJ,1,1036855300.6218085,Northeast,9,5.3,33.4,10.8,7.1,0.2,5.4,7.5,67666,92.2,71.3,730635,1419.1152909753962,"350-1,500"
NJ,11,0,Northeast,2.7,3.6,32.4,5.9,5.2,0.2,4.9,9.2,107027,94.8,84.3,743033,0,NA
NJ,12,100023595.73567359,Northeast,6.5,4.5,34.3,9.2,6.3,0.3,5,9.2,83770,90.5,74.4,757602,132.02657297060145,0-350
NJ,2,18124997054.02254,Northeast,10.1,5.6,37.9,10.8,10.2,1.4,7,7,62007,90.5,68.1,726894,24934.855775426047,"10,000+"
NJ,3,2435728954.632647,Northeast,4.6,4.3,36.1,9.1,7.7,0.3,6.1,6.4,77540,94.3,79.8,737263,3303.7450063717383,"1,500-4,000"
NJ,5,2814983.8423505104,Northeast,3.8,3.6,33.4,7.5,6.8,0.4,5.6,8.3,98863,93.6,81.2,745615,3.775385208653944,0-350
NJ,9,630288979.2201918,Northeast,12.6,3.6,36.5,16,7.4,0.1,5.7,11,64936,85.2,58.7,758209,831.2865967301784,"350-1,500"
NJ,4,553596340.6148063,Northeast,6.3,3.7,36.8,7.8,7.7,0.3,6.9,6.3,80949,92.7,74.1,741766,746.3220754453646,"350-1,500"
NJ,6,1573642890.5302494,Northeast,7.3,4.3,35,12.1,7.3,0.1,5.6,8.4,80087,90.1,73.9,745204,2111.6941005821886,"1,500-4,000"
NJ,8,377706888.71230894,Northeast,14.4,5.4,30.2,16.3,8.8,0.1,7,8.4,57012,80.7,53.4,774492,487.6833959709189,"350-1,500"
NJ,10,149753268.3413274,Northeast,16,7.5,34.6,13.8,5.8,0.1,4.2,6,50413,85.5,56.6,754301,198.53250670664283,0-350
NY,1,9059599468.172174,Northeast,4.9,3.3,36.4,8,10.4,0.8,8.3,6.1,90378,94,78.6,721210,12561.666460770337,"10,000+"
NY,11,622736135.2148972,Northeast,11.2,3.6,40.5,8.7,8.1,0.1,7,3.1,69192,93.2,65.9,733750,848.7034210765208,"350-1,500"
NY,12,74932941.16385034,Northeast,6.5,3.1,28,2.5,2,0.1,1.9,3,100828,94.1,79.1,732140,102.34783123972237,0-350
NY,13,26274531.55433661,Northeast,24.8,6.8,36.7,8.9,5,0,3.7,3.2,39490,89,45.1,782402,33.581881889791454,0-350
NY,14,176637465.72411868,Northeast,13.5,4.4,35.9,12.1,9.4,0.2,7.9,4.4,54753,84.8,51.5,721690,244.7553183834038,0-350
NY,15,29185699.624014504,Northeast,35.3,7.3,42.9,13,7,0.1,4.9,3.7,27351,87.6,34.3,758424,38.482035937700424,0-350
NY,17,453181186.9694561,Northeast,7.2,4,33.5,6.1,6.9,0.2,6.1,4.9,95454,92.2,71.2,742801,610.0977071509814,"350-1,500"
NY,18,260491750.43064237,Northeast,6.7,3.8,35.3,9,8.2,0.6,6.6,6.2,82543,94.4,75.7,723244,360.1713259019672,"350-1,500"
NY,2,1809783589.5885468,Northeast,4.8,3.7,32.6,11.3,8.9,0.2,7,8.3,94336,93.3,77.6,721061,2509.8897174976137,"1,500-4,000"
NY,20,125228380.95383823,Northeast,7.7,3.7,35.2,8.6,6.2,0.4,4.9,7,64154,95.3,76.2,727071,172.23679799337097,0-350
NY,3,1485735937.6514306,Northeast,3.9,2.9,37.6,5.7,5.7,0.2,5.5,5.2,108136,95.3,82.3,731138,2032.0868805224604,"1,500-4,000"
NY,5,519670243.4432847,Northeast,10,5.9,35.2,11,8.9,0.1,6.4,3.2,66094,90.3,58.2,784341,662.5565199872054,"350-1,500"
NY,9,2868710.716477207,Northeast,15.1,5.1,36.2,7.4,5.7,0,4.4,2.4,53047,90.6,56.6,746279,3.844019081974981,0-350
NY,4,893420756.9899552,Northeast,4.8,3.4,34.4,7.9,7,0.1,5.8,4.3,100387,93.1,78.1,724387,1233.3473088141493,"350-1,500"
NY,16,471008281.6876383,Northeast,9.8,5.2,36.3,7,6.7,0.2,5.7,3.4,68246,92,68,745855,631.5011385425295,"350-1,500"
NY,19,837609890.9954939,Northeast,7.9,4,39.7,10.7,10.4,2.1,7.9,7.5,60494,93.7,72,705473,1187.3025487800296,"350-1,500"
NY,6,0,Northeast,11,3.6,38.1,9.2,6.7,0.2,6.1,4.2,61648,88.2,59.7,742207,0,NA
NY,7,37863852.150394455,Northeast,21.6,4.9,35.5,9.6,6.7,0.2,5.9,5,52724,87.8,47.6,750580,50.44612453088872,0-350
NY,8,249637686.5358313,Northeast,18.2,5.8,38.6,9.2,6,0.2,4.5,3,49556,91.8,55.9,772709,323.0681751290995,0-350
NY,10,252660684.36692655,Northeast,12.8,3.5,32.8,4.5,3.5,0.2,3.3,3.5,87826,93.8,66.5,740752,341.0867393769123,0-350
OR,1,2199678897.362636,West,7.3,3.8,33.3,10.4,7.4,2.2,5.3,16.3,70350,92.2,73.9,817756,2689.8963717326883,"1,500-4,000"
OR,3,89332535.35291387,West,10.6,4.6,31.8,11.2,6.3,1.1,5.1,9.4,60395,90.9,67.9,820929,108.81883250916202,0-350
OR,5,2974920967.568276,West,8.8,4,38.2,12.2,10.4,4.1,6.8,10.9,59704,91.5,68.6,806326,3689.4766726711973,"1,500-4,000"
OR,4,2286647861.0030627,West,11.1,4.6,43.6,13,9.4,3.7,5.7,10.5,46558,91.4,63.9,785159,2912.337324036358,"1,500-4,000"
RI,1,842452405.8287247,Northeast,11.5,4.6,35.5,12.3,6.8,0.4,5.3,10.8,56013,92.4,67.1,532360,1582.4862984234817,"1,500-4,000"
RI,2,2030097457.5289943,Northeast,7.4,4.3,34.2,10.2,8,0.5,5.5,10.7,65736,94.2,73.7,523778,3875.8738578729813,"1,500-4,000"
SC,1,11298192155.103863,South,7.2,3.4,35.1,9.3,8.6,0.5,6.9,8.3,64118,89.1,72.9,748066,15103.20233121658,"10,000+"
SC,6,5008135488.449161,South,19.4,5.8,42.6,15.7,10.1,1.5,7.2,10.7,35546,85.6,55.8,667841,7498.993755174002,"4,000-10,000"
SC,7,3754702558.1151366,South,14.9,5,43,13.8,9.5,1.5,6.9,11.2,42536,86,58.3,698776,5373.256319786507,"4,000-10,000"
TX,14,8639533973.522097,South,12.1,3.8,39.9,12.8,12.1,2,10.8,12.2,57851,82.6,63.5,737708,11711.319347929122,"10,000+"
TX,18,2300886.105176181,South,19.7,5.1,34.8,15.1,12.3,2.7,10.4,8.9,44527,76.4,46.9,766074,3.003477608137309,0-350
TX,22,2232665.660575059,South,6.1,3.2,32.7,8.3,6.7,5.1,6,10,93667,88.5,77.3,844913,2.6424799483201924,0-350
TX,27,6105657708.313431,South,12,3.5,38,13.7,14.7,5.3,10,9.1,53040,82.2,59.5,732212,8338.647424944456,"4,000-10,000"
TX,29,46856903.947765976,South,22.6,4.8,34.9,20.4,21.3,1.4,18.2,11.7,41301,68.4,37,740295,63.294908040397374,0-350
TX,34,1530128301.0137148,South,25,4.3,45.4,11.9,12.5,5.4,7.4,5.5,37568,72.5,40.5,720989,2122.2630317712405,"1,500-4,000"
TX,36,2952300941.6802554,South,10.6,4.5,40.2,16,14.8,3.1,11.5,14.3,58115,82.2,62,726915,4061.4115015926973,"4,000-10,000"
VA,1,15472327857.632675,South,5,3,32.8,8,9.7,0.9,8.1,5.3,83367,91.6,80.7,776151,19934.68778321831,"10,000+"
VA,11,249930605.799285,South,4.5,3.3,27.4,5.6,6.1,0.1,5.9,2.6,107567,89.4,80.7,787515,317.36615277078533,0-350
VA,2,11195011952.907106,South,6.9,3.5,31.1,8.8,9.8,0.6,6.8,7.1,66487,90.4,78.2,738962,15149.644978912456,"10,000+"
VA,3,2145779374.4843307,South,12.7,5,33.9,12.2,10.2,0.4,6,10.9,52131,88.8,68.2,738417,2905.918166136926,"1,500-4,000"
VA,4,1900473086.273837,South,11.7,4.9,36.8,12,8.2,0.7,5.7,8.1,54560,89.2,69.7,760613,2498.607158007866,"1,500-4,000"
VA,7,3550679.577154695,South,5.5,3.5,32.7,8.5,8.5,0.9,7,6.1,73904,91.4,78.7,769141,4.6164221867703,0-350
VA,8,240101491.18120286,South,5.9,3,24,4.5,6.1,0.2,6.1,2.3,103414,88.8,80.1,787232,304.99457743232347,0-350
WA,1,1257506112.1003103,West,4.7,3.3,33.1,9,8.8,1.6,7.1,13.3,90029,93.8,79.2,729667,1723.3972649171612,"1,500-4,000"
WA,2,7456996888.411496,West,7.6,3.9,34.8,12.2,10.5,1.2,6.8,14.9,64663,91.6,72,715426,10423.156117350356,"10,000+"
WA,3,3075146817.1060457,West,8.2,4.1,39.9,14.7,10.7,2.1,8,11.9,60163,92,68,708507,4340.319597556617,"4,000-10,000"
WA,9,536378741.6504229,West,8.8,3.8,32,11.5,6.8,0.5,5,10.2,73249,90.8,68.8,726425,738.3814456419078,"350-1,500"
WA,6,10037981923.736242,West,8.2,3.8,42.2,10.6,10.4,1.8,6.7,8.9,59898,91.9,69.7,689399,14560.482280560665,"10,000+"
WA,7,1107053695.4841495,West,5.4,3.2,28.1,5.8,4,0.4,3.9,7.3,80962,93.9,80.4,746893,1482.2119038257815,"350-1,500"
WA,10,421801040.07024527,West,9.2,4.7,35.9,12.7,9.7,1.1,7.1,8,61351,91.9,71,720357,585.5444454211527,"350-1,500"
